SLF943,CompID,cntr_id,line_num,po_num / Ref#,itm_Num,itm_color,itm_size,itm_name,itm_qty,ctn_qty,ctns,Ctn-Len,Ctn-Wid,Ctn-Hgt,ctn_cube,ctn_wgt,ENTRY-DT,ETA-DT,SUPPLIER,Hdr-Note,Dtl-Note
SLF943,VAND,GAOU6013095,8,3392,ME9688-BLOSS,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,GAOU6013095,9,3392,ME9688-MINT,,,Borosilicate Glass Food,1392,24,58,,,,,,,,,,
SLF943,VAND,GAOU6013095,10,3392,ME9689-BLEGG,,,Borosilicate Glass Food,792,24,33,,,,,,,,,,
SLF943,VAND,GAOU6013095,11,3392,ME9689-BLOSS,,,Borosilicate Glass Food,408,24,17,,,,,,,,,,
SLF943,VAND,GAOU6013095,12,3392,ME9689-MINT,,,Borosilicate Glass Food,408,24,17,,,,,,,,,,
SLF943,VAND,GAOU6013095,13,3392,ME9690-BLEGG,,,Borosilicate Glass Food,792,12,66,,,,,,,,,,
SLF943,VAND,GAOU6013095,14,3392,ME9690-BLOSS,,,Borosilicate Glass Food,408,12,34,,,,,,,,,,
SLF943,VAND,GAOU6013095,15,3392,ME9690-MINT,,,Borosilicate Glass Food,408,12,34,,,,,,,,,,
SLF943,VAND,GAOU6013095,16,3392,V06004-BLEGG,,,Borosilicate Glass Food,1200,24,50,,,,,,,,,,
SLF943,VAND,GAOU6013095,17,3392,V06004-BLOSS,,,Borosilicate Glass Food,1200,24,50,,,,,,,,,,
SLF943,VAND,GAOU6013095,18,3392,V06004-MINT,,,Borosilicate Glass Food,1200,24,50,,,,,,,,,,
SLF943,VAND,GAOU6013095,19,3392,V06005-BLEGG,,,Borosilicate Glass Food,1200,12,100,,,,,,,,,,
SLF943,VAND,GAOU6013095,20,3392,V06005-BLOSS,,,Borosilicate Glass Food,1200,12,100,,,,,,,,,,
SLF943,VAND,GAOU6013095,21,3392,V06005-MINT,,,Borosilicate Glass Food,1200,12,100,,,,,,,,,,
SLF943,VAND,FCGU1677489,1,3394,ME9359-RYLNVY,,,Folding Step Stool 9 in,1800,12,150,,,,,,,,,,
SLF943,VAND,FCGU1677489,2,3394,ME9573,,,Folding Step Stool 13 in,1800,9,200,,,,,,,,,,
SLF943,VAND,FCGU1677489,3,3394,ME9574,,,Folding Step Stool 13 in,2007,9,223,,,,,,,,,,
