SLF940,CompID,REFNUM,BATCHID,CUSTID,CustPO,PickLine,ItemNum,Color,Size,Cust-SKU,ItmQty,Ctns,ctn_qty,ctn_cube,ctn_wgt,itm_name,DtlCount,PO-Num,Rel-ID,ReqDt,StartDt,CancelDt,Dept,STORE,ShipToName,ShipToAdd1,ShipToAdd2,City,State,Cntry,ZipCode,Country,HdrNote,ship-via
SLF940,VAND,166565,,BBB,EC2Z3LG,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1126,BB&B #1126 North Greensboro,1618 Highwoods Blvd,,Greensboro,NC,,27410-,,,
SLF940,VAND,166566,,BBB,EC2Z2XK,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0213,BB&B #0213 Jensen Beach,2450 NW FEDERAL HIGHWAY,,STUART,FL,,34994-,,,
SLF940,VAND,166567,,BBB,EC2Z2MY,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0517,BB&B #0517 North Little Rock,4122 McCain Blvd,,North Little Rock,AR,,72117-,,,
SLF940,VAND,166568,,BBB,EC2Y7RA,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0056,BB&B #0056 Fairfax,9666 MAIN STREET,,FAIRFAX,VA,,22031-,,,
SLF940,VAND,166569,,BBB,EC2Y7MX,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1014,BB&B #1014 Moreland Ave,1235 Caroline Street NE,,Atlanta,GA,,30307-,,,
SLF940,VAND,166570,,BBB,EC2Y7GA,1,PL5202,,,,18,3,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0832,BB&B #0832 Raleigh Triangle,3604 Sumner Blvd Suite 104,,Raleigh,NC,,27616-,,,
SLF940,VAND,166571,,BBB,EC2Y4MG,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0196,BB&B #0196 Towson,1238 PUTTY HILL AVENUE,Suite 1,TOWSON,MD,,21286-,,,
SLF940,VAND,166572,,BBB,EC2X7KU,1,PL5202,,,,12,2,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0560,BB&B #0560 Morganton Road,5075 Morganton Road Suite 9C,,Fayetteville,NC,,28314-,,,
SLF940,VAND,166573,,BBB,EC2X5QP,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0454,BB&B #0454 Fort Lauderdale,2701 N Federal Highway,,Fort Lauderdale,FL,,33306-,,,
SLF940,VAND,166574,,BBB,EC2X4UG,1,PL5202,,,,6,1,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,0321,BB&B #0321 Lafayette,3617 Ambassador Caffery,,Lafayette,LA,,70503-,,,
SLF940,VAND,166575,,BBB,EC2X3UV,1,PL5202,,,,30,5,6,,,,,,,3/28/2019,3/28/2019,4/5/2019,,1135,BB&B #1135 Mechanicsburg,6416 Carlisle Pike Suite 2700,,Mechanicsburg,PA,,17050-,,,
